species,order,superfamily,family,subfamily,tribe,genus,subgenus
Brachyhesma paucivenata,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Brachyhesma,
Brachyhesma perlutea,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Brachyhesma,
Brachyhesma renneri,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Brachyhesma,
Brachyhesma rossi,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Brachyhesma,
Brachyhesma scapata,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Brachyhesma,
Brachyhesma storeyi,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Brachyhesma,
Brachyhesma sulphurella,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Brachyhesma,
Brachyhesma triangularis,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Brachyhesma,
Brachyhesma trichopterota,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Brachyhesma,
Brachyhesma ventralis,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Brachyhesma,
Brachyhesma wyndhami,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Brachyhesma,
Callohesma albiceris,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Callohesma,
Callohesma aurantifera,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Callohesma,
Callohesma aureopicta,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Callohesma,
Callohesma calliopsella,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Callohesma,
Callohesma calliopsiformis,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Callohesma,
Callohesma campbelli,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Callohesma,
Callohesma chlora,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Callohesma,
Callohesma coolgardensis,Hymenoptera,Apoidea,Colletidae,Euryglossinae,,Callohesma,
