Genus;species;Superfamily;Family;Subfamily;Tribe;Taxonomic_authority;Nest_location;Sociality;Parasitic;Dietary_specialization;Voltinism;ITfam;ITqueen;MaxLat;MinLat;n_Lat;Pheno_mean;pheno_q10;pheno_q90
Agapostemon;sericeus;Apoidea;Halictidae;Halictinae;Halictini;Furster,1771;soil;Facultative;No;Polylectic;Multivoltine;1,9;NA;46,87722;31,3269;337;208,5;145,777;263,675
Agapostemon;splendens;Apoidea;Halictidae;Halictinae;Halictini;Lepeletier,1841;soil;Facultative;No;Polylectic;Multivoltine;2,384285714;NA;46,87722;25,66166;147;198,2336667;155,286;254,203
Agapostemon;texanus;Apoidea;Halictidae;Halictinae;Halictini;Cresson,1872;soil;Facultative;No;Polylectic;Multivoltine;1,874;NA;46,9233;25,90139;165;187,9146667;130,225;264,555
Agapostemon;virescens;Apoidea;Halictidae;Halictinae;Halictini;Fabricius,1775;soil;Facultative;No;Polylectic;Multivoltine;2,16;NA;46,87722;32,8406;554;212,0686667;161,433;259,708
Andrena;algida;Apoidea;Andrenidae;Andreninae;NA;Smith,1853;soil;Solitary;No;Polylectic;NA;1,8;NA;46,87722;41,05722;40;121,5903333;98,154;154,687
Andrena;alleghaniensis;Apoidea;Andrenidae;Andreninae;NA;Viereck,1907;soil;Solitary;No;Polylectic;NA;2,316666667;NA;44,72861;29,85326;80;156,9936667;133,632;182,956
Andrena;arabis;Apoidea;Andrenidae;Andreninae;NA;Robertson,1897;soil;Solitary;No;Oligolectic;Univoltine;1,9;NA;44,1167;35,24222;153;132,518;106,674;155,531
Andrena;asteris;Apoidea;Andrenidae;Andreninae;NA;Robertson,1891;soil;Solitary;No;Oligolectic;NA;2,9;NA;46,5858;31,18777;71;256,2527126;237,776;275,339
Andrena;barbilabris;Apoidea;Andrenidae;Andreninae;NA;Kirby,1802;soil;Solitary;No;Polylectic;Univoltine;2,0345;NA;48,2355;35,43083;130;126,9964598;102,143;154,193
Andrena;bisalicis;Apoidea;Andrenidae;Andreninae;NA;Viereck,1908;soil;Solitary;No;Polylectic;NA;2,125;NA;45,0511;35,1997;94;121,5660805;96,769;150,132
Andrena;braccata;Apoidea;Andrenidae;Andreninae;NA;Viereck,1907;soil;Solitary;No;Oligolectic;NA;3,0375;NA;43,63527;38,9806;80;250,1988966;234,341;275,669
