Species;Body mass (mg);halftongue length (mm);totaltonguelength
Euglossa purpurea;80;8;16
Euglossa imperialis;144;18;36
Euglossa flammea ;118;19;38
Euglossa ignita;127;17;34
Euglossa asarophora;146;24;48
Euglossa crassipunctata;64;7;14
Euglossa allosticta;97;15;30
Euglossa dodsoni;66;9;18
Euglossa hansoni;75;7;14
Euglossa tridentata;97;7;14
Euglossa championi;109;8;16
Euglossa cognata;124;7;14
Euglossa sapphirina;61;8;16
Euglossa mixta;82;7;14
Euglossa cybelia;97;7;14
Euglossa bursigera;59;8;16
Exaerete smaragdina;298;15;30
Exaerete Frontalis;577;19;38
Eualema meriana;728;20;40
Eualema polychroma;343;14;28
Eualema cingulata;453;13;26
Eualema nigrita;349;13;26
Eufriesea anisochlora;243;6;12
Eufriesea schmidtiana;451;18;36
Eufriesea venusta;359;15;30
Eufriesea chrysopyga;283;7;14
Eufriesea rufocauda;208;7;14
Eufriesea corusca;449;9;18
Eufriesea duckei;164;11;22
Eufriesea lucifera;391;8;16
Eufriesea macroglossa;323;16;32
Eufriesea pulchra;325;6;12
