DATE;FAMILY;GENUS;SPECIE;N;SEX
10/06/1993;COLLETIDAE;Hylaeus;gibbus;1;female
10/06/1993;COLLETIDAE;Hylaeus;pictipes;3;male
10/06/1993;COLLETIDAE;Hylaeus;pictipes;1;female
10/06/1993;ANDRENIDAE;Andrena;avara;2;female
10/06/1993;ANDRENIDAE;Andrena;leucolippa;1;male
10/06/1993;ANDRENIDAE;Andrena;minutula;1;male
10/06/1993;ANDRENIDAE;Andrena;minutula;3;female
10/06/1993;ANDRENIDAE;Andrena;nigroaenea;1;female
10/06/1993;ANDRENIDAE;Andrena;ovatula;1;male
10/06/1993;HALICTIDAE;Lasioglossum;bimaculatum;2;female
10/06/1993;HALICTIDAE;Lasioglossum;littorale;2;female
10/06/1993;HALICTIDAE;Lasioglossum;littorale occitanicum;1;female
10/06/1993;HALICTIDAE;Nomioides;variegata;1;female
10/06/1993;MELITTIDAE;Dasypoda;hirtipes;3;male
10/06/1993;MELITTIDAE;Dasypoda;morotei;2;female
10/06/1993;MEGACHILIDAE;Coelioxys;afra;2;female
10/06/1993;MEGACHILIDAE;Hoplitis;acuticornis;1;male
10/06/1993;MEGACHILIDAE;Heriades;leucomelana;1;female
10/06/1993;MEGACHILIDAE;Heriades;ligurica;1;female
10/06/1993;MEGACHILIDAE;Heriades;praestans;2;male
10/06/1993;ANTHOPHORIDAE;Eucera;cineraria;8;male
10/06/1993;ANTHOPHORIDAE;Eucera;cineraria;1;female
10/06/1993;ANTHOPHORIDAE;Ceratina;chalybea;1;female
10/06/1993;ANTHOPHORIDAE;Ceratina;dentiventris;1;female
10/06/1993;ANTHOPHORIDAE;Xylocopa;violacea;1;female
21/06/1993;COLLETIDAE;Colletes;sp. 2;1;female
21/06/1993;COLLETIDAE;Hylaeus;pictipes;2;male
21/06/1993;COLLETIDAE;Hylaeus;pictipes;8;female
21/06/1993;COLLETIDAE;Hylaeus;variegatus;2;female
21/06/1993;ANDRENIDAE;Andrena;curtula;1;female
21/06/1993;ANDRENIDAE;Andrena;dorsata propinqua;1;male
21/06/1993;ANDRENIDAE;Andrena;minutula;6;male
21/06/1993;ANDRENIDAE;Andrena;minutula;2;female
21/06/1993;ANDRENIDAE;Andrena;nana;2;male
21/06/1993;ANDRENIDAE;Andrena;nigroaenea;1;female
21/06/1993;ANDRENIDAE;Andrena;trimmerana;1;male
21/06/1993;ANDRENIDAE;Andrena;sp. 1;1;male
21/06/1993;HALICTIDAE;Lasioglossum;aeratum;1;male
21/06/1993;HALICTIDAE;Lasioglossum;immunitum;1;male
21/06/1993;HALICTIDAE;Lasioglossum;immunitum;3;female
21/06/1993;HALICTIDAE;Lasioglossum;littorale;3;male
21/06/1993;HALICTIDAE;Lasioglossum;littorale;2;female
21/06/1993;HALICTIDAE;Lasioglossum;littorale occitanicum;1;female
21/06/1993;HALICTIDAE;Lasioglossum;pauperatum;2;female
21/06/1993;HALICTIDAE;Lasioglossum;punctatissimum;1;male
21/06/1993;HALICTIDAE;Lasioglossum;quadrisignatum;1;female
21/06/1993;HALICTIDAE;Lasioglossum;sphecodimorphum;1;female
21/06/1993;HALICTIDAE;Lasioglossum;villosulum;1;female
21/06/1993;HALICTIDAE;Sphecodes;marginatus;2;male
21/06/1993;HALICTIDAE;Sphecodes;rubicundus;1;male
21/06/1993;HALICTIDAE;Nomioides;variegata;8;female
21/06/1993;MELITTIDAE;Dasypoda;hirtipes;2;male
21/06/1993;MELITTIDAE;Dasypoda;morotei;5;female
21/06/1993;MEGACHILIDAE;Anthidium;oblongatum;1;male
21/06/1993;MEGACHILIDAE;Stelis;punctulatissima;1;female
21/06/1993;MEGACHILIDAE;Chelostoma;distinctum;3;female
21/06/1993;MEGACHILIDAE;Heriades;anceyi;4;male
21/06/1993;MEGACHILIDAE;Osmia;caerulescens;1;female
21/06/1993;ANTHOPHORIDAE;Eucera;cineraria;1;male
21/06/1993;ANTHOPHORIDAE;Ceratina;cucurbitina;1;male
21/06/1993;ANTHOPHORIDAE;Ceratina;cyanea;1;male
21/06/1993;ANTHOPHORIDAE;Ceratina;dentiventris;1;female
21/06/1993;ANTHOPHORIDAE;Ceratina;mocsaryi;1;female
21/06/1993;APIDAE;Bombus;sp.;1;female
05/07/1993;COLLETIDAE;Hylaeus;pictipes;3;female
05/07/1993;COLLETIDAE;Hylaeus;variegatus;1;female
05/07/1993;HALICTIDAE;Lasioglossum;aeratum;5;male
05/07/1993;HALICTIDAE;Lasioglossum;bimaculatum;2;male
05/07/1993;HALICTIDAE;Lasioglossum;discum fertoni;1;male
05/07/1993;HALICTIDAE;Lasioglossum;immunitum;2;male
05/07/1993;HALICTIDAE;Lasioglossum;immunitum;3;female
05/07/1993;HALICTIDAE;Lasioglossum;littorale;6;male
05/07/1993;HALICTIDAE;Lasioglossum;littorale;5;female
05/07/1993;HALICTIDAE;Lasioglossum;littorale occitanicum;3;female
05/07/1993;HALICTIDAE;Lasioglossum;pauperatum;1;female
05/07/1993;HALICTIDAE;Lasioglossum;planulum;1;male
05/07/1993;HALICTIDAE;Lasioglossum;punctatissimum;1;male
05/07/1993;HALICTIDAE;Lasioglossum;pygmaeum;2;male
05/07/1993;HALICTIDAE;Lasioglossum;villosulum;1;male
05/07/1993;HALICTIDAE;Lasioglossum;villosulum;1;female
05/07/1993;HALICTIDAE;Sphecodes;longuloides;4;male
05/07/1993;HALICTIDAE;Sphecodes;pellucidus;1;male
05/07/1993;HALICTIDAE;Nomioides;variegata;4;male
05/07/1993;HALICTIDAE;Nomioides;variegata;1;female
05/07/1993;MEGACHILIDAE;Lithurgus;chrysurus;1;male
05/07/1993;MEGACHILIDAE;Anthidium;oblongatum;1;male
05/07/1993;MEGACHILIDAE;Heriades;crenulatus;1;male
05/07/1993;ANTHOPHORIDAE;Ceratina;chalybea;2;female
05/07/1993;ANTHOPHORIDAE;Ceratina;dentiventris;1;female
05/07/1993;APIDAE;Bombus;sp.;1;female
19/07/1993;COLLETIDAE;Hylaeus;imparilis;1;female
19/07/1993;COLLETIDAE;Hylaeus;lineolatus;1;male
19/07/1993;COLLETIDAE;Hylaeus;moricei;1;female
19/07/1993;COLLETIDAE;Hylaeus;pictipes;3;female
19/07/1993;COLLETIDAE;Hylaeus;pictus;1;male
19/07/1993;COLLETIDAE;Hylaeus;signatus;1;female
19/07/1993;COLLETIDAE;Hylaeus;variegatus;4;male
19/07/1993;COLLETIDAE;Hylaeus;variegatus;3;female
19/07/1993;ANDRENIDAE;Andrena;ovatula;1;male
19/07/1993;HALICTIDAE;Halictus;crenicornis;1;male
19/07/1993;HALICTIDAE;Halictus;pollinosus;1;male
19/07/1993;HALICTIDAE;Halictus;smaragdulus;1;female
19/07/1993;HALICTIDAE;Halictus;vestitus;1;male
19/07/1993;HALICTIDAE;Lasioglossum;aeratum;9;male
19/07/1993;HALICTIDAE;Lasioglossum;albocinctum;1;female
19/07/1993;HALICTIDAE;Lasioglossum;aureolum;1;female
19/07/1993;HALICTIDAE;Lasioglossum;bimaculatum;1;female
19/07/1993;HALICTIDAE;Lasioglossum;brevicorne;4;male
19/07/1993;HALICTIDAE;Lasioglossum;discum fertoni;2;male
19/07/1993;HALICTIDAE;Lasioglossum;discum fertoni;2;female
19/07/1993;HALICTIDAE;Lasioglossum;immunitum;35;male
19/07/1993;HALICTIDAE;Lasioglossum;immunitum;3;female
19/07/1993;HALICTIDAE;Lasioglossum;interruptum;1;male
19/07/1993;HALICTIDAE;Lasioglossum;littorale;8;male
19/07/1993;HALICTIDAE;Lasioglossum;littorale;5;female
19/07/1993;HALICTIDAE;Lasioglossum;littorale occitanicum;2;female
19/07/1993;HALICTIDAE;Lasioglossum;pauperatum;1;male
19/07/1993;HALICTIDAE;Lasioglossum;pseudoplanulum;3;male
19/07/1993;HALICTIDAE;Lasioglossum;punctatissimum;3;male
19/07/1993;HALICTIDAE;Lasioglossum;punctatissimum;1;female
19/07/1993;HALICTIDAE;Lasioglossum;pygmaeum;4;male
19/07/1993;HALICTIDAE;Lasioglossum;quadrinotatulus;1;male
19/07/1993;HALICTIDAE;Lasioglossum;villosulum;1;male
19/07/1993;HALICTIDAE;Lasioglossum;villosulum;1;female
19/07/1993;HALICTIDAE;Sphecodes;crassanus;5;male
19/07/1993;HALICTIDAE;Sphecodes;longuloides;2;male
19/07/1993;HALICTIDAE;Sphecodes;longuloides;3;female
19/07/1993;HALICTIDAE;Sphecodes;marginatus;1;male
19/07/1993;HALICTIDAE;Sphecodes;monilicornis;2;male
19/07/1993;HALICTIDAE;Sphecodes;monilicornis;1;female
19/07/1993;HALICTIDAE;Sphecodes;pellucidus;2;male
19/07/1993;HALICTIDAE;Nomioides;variegata;90;male
19/07/1993;HALICTIDAE;Nomioides;variegata;32;female
19/07/1993;MEGACHILIDAE;Lithurgus;chrysurus;1;male
19/07/1993;MEGACHILIDAE;Anthidium;caturingense;1;male
19/07/1993;MEGACHILIDAE;Anthidium;oblongatum;1;male
19/07/1993;MEGACHILIDAE;Megachile;argentata;2;female
19/07/1993;MEGACHILIDAE;Megachile;pilicrus;1;male
19/07/1993;MEGACHILIDAE;Megachile;rotundata;6;male
19/07/1993;MEGACHILIDAE;Heriades;crenulatus;1;male
19/07/1993;MEGACHILIDAE;Osmia;caerulescens;1;male
19/07/1993;ANTHOPHORIDAE;Ceratina;cucurbitina;2;female
02/08/1993;COLLETIDAE;Colletes;ibericus;2;male
