GenusSpecies;SiteCode;Year;Day;ypr;Presence;NestLoc;Excavate;Sociality;Lecty;MeanITD;d;abun
Agapostemon texanus;H1;2006;188;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2009;216;1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2009;113;1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2009;161;1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2007;221;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2008;127;0;1;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2013;198;5;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2008;171;0;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2012;226;4;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2006;229;-1;1;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2013;115;5;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2013;93;5;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2012;158;4;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2011;206;3;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2013;171;5;1;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2013;154;5;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2008;218;0;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2011;125;3;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2012;129;4;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2007;171;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2007;114;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2012;176;4;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H1;2011;175;3;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;;2008;172;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;;2008;217;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;;2008;124;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2007;173;-1;1;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2013;199;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2011;132;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2013;109;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2008;127;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2012;130;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2009;166;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2011;181;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2008;175;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2011;207;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2009;217;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2013;135;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2012;222;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2013;177;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2007;225;-1;1;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2012;201;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2013;157;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2008;220;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2007;128;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2009;119;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;C4b;2012;179;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H2;2008;123;1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H2;2006;143;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H2;2007;118;0;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H2;2007;217;0;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H2;2007;170;0;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H2;2006;188;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H2;2006;165;-1;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
Agapostemon texanus;H2;2012;213;5;0;below;ex;solitary;polylectic;0,68334318;0,177009679;23
